user_id,item_id
u01,i13
u01,i16
u01,i05
u01,i04
u01,i09
u01,i00
u01,i01
u01,i08
u01,i02
u01,i07
u02,i00
u02,i13
u02,i10
u02,i04
u02,i06
u02,i12
u02,i11
u02,i09
u02,i15
u02,i14
u03,i00
u03,i04
u03,i01
u03,i05
u03,i03
u03,i02
u03,i10
u03,i11
u03,i13
u03,i09
u03,i14
u03,i15
u03,i18
u03,i07
u03,i08
u03,i06
u03,i12
u03,i16
u04,i10
u04,i05
u04,i19
u04,i03
u04,i17
u04,i06
u04,i15
u04,i01
u04,i00
u04,i09
u04,i04
u04,i08
u04,i14
u04,i12
u04,i07
u05,i00
u05,i04
u05,i09
u05,i03
u05,i08
u05,i01
u05,i02
u05,i12
u05,i07
u05,i10
u05,i06
u06,i04
u06,i08
u06,i14
u06,i09
u06,i03
u06,i19
u06,i15
u06,i10
u06,i02
u06,i16
u06,i05
u06,i01
u06,i06
u06,i00
u06,i11
u06,i07
u07,i01
u07,i09
u07,i06
u07,i04
u07,i07
u07,i10
u07,i08
u07,i12
u07,i00
u07,i11
u07,i13
u07,i02
u07,i17
u07,i03
u07,i18
u07,i15
u07,i14
u08,i18
u08,i02
u08,i14
u08,i04
u08,i07
u08,i06
u08,i03
u08,i00
u08,i01
u08,i05
u08,i10
u08,i11
u09,i11
u09,i09
u09,i10
u09,i12
u09,i08
u09,i04
u09,i14
u09,i05
u09,i17
u09,i00
u09,i03
u09,i15
u09,i02
u10,i01
u10,i00
u10,i08
u10,i03
u10,i07
u10,i17
u10,i02
u10,i15
u10,i04
u10,i11
u10,i05
u10,i09
u10,i10
u10,i06
u10,i14
u11,i03
u11,i19
u11,i02
u11,i05
u11,i14
u11,i10
u11,i06
u11,i04
u11,i07
u11,i11
u11,i00
u11,i01
u11,i12
u11,i08
u11,i16
u11,i09
u11,i18
u12,i02
u12,i11
u12,i07
u12,i06
u12,i08
u12,i00
u12,i09
u12,i04
u12,i16
u12,i01
u12,i05
u12,i03
u12,i15
u12,i17
u12,i10
u12,i18
u12,i12
u13,i06
u13,i08
u13,i07
u13,i05
u13,i02
u13,i00
u13,i04
u13,i15
u13,i12
u13,i16
u13,i09
u13,i01
u13,i14
u13,i10
u13,i13
u13,i18
u14,i05
u14,i01
u14,i16
u14,i04
u14,i03
u14,i07
u14,i09
u14,i00
u14,i02
u14,i08
u14,i10
u14,i06
u14,i12
u14,i15
u14,i13
u14,i11
u14,i17
u15,i18
u15,i07
u15,i08
u15,i04
u15,i00
u15,i05
u15,i13
u15,i11
u15,i01
u15,i14
u15,i19
u15,i06
u15,i03
u15,i10
u15,i17
u15,i09
u16,i07
u16,i00
u16,i01
u16,i16
u16,i08
u16,i04
u16,i10
u16,i11
u16,i05
u16,i03
u16,i06
u16,i12
u16,i15
u16,i02
u16,i17
u16,i14
u17,i05
u17,i03
u17,i10
u17,i09
u17,i00
u17,i04
u17,i12
u17,i01
u17,i13
u17,i18
u17,i08
u17,i15
u17,i07
u17,i14
u17,i06
u18,i01
u18,i00
u18,i03
u18,i10
u18,i15
u18,i06
u18,i07
u18,i17
u18,i11
u18,i02
u18,i14
u19,i00
u19,i13
u19,i01
u19,i11
u19,i03
u19,i18
u19,i04
u19,i02
u19,i07
u19,i05
u19,i10
u19,i09
u19,i12
u19,i06
u19,i16
u20,i00
u20,i15
u20,i05
u20,i06
u20,i02
u20,i03
u20,i13
u20,i10
u20,i07
u20,i09
u20,i14
u21,i11
u21,i02
u21,i06
u21,i08
u21,i07
u21,i17
u21,i01
u21,i00
u21,i03
u21,i04
u21,i18
u21,i05
u22,i14
u22,i09
u22,i01
u22,i08
u22,i02
u22,i11
u22,i10
u22,i16
u22,i07
u22,i05
u22,i06
u22,i04
u22,i13
u23,i00
u23,i05
u23,i09
u23,i17
u23,i11
u23,i08
u23,i16
u23,i12
u23,i10
u23,i06
u23,i02
u24,i03
u24,i01
u24,i02
u24,i08
u24,i07
u24,i10
u24,i09
u24,i00
u24,i16
u24,i04
u24,i05
u24,i13
u25,i11
u25,i07
u25,i03
u25,i10
u25,i01
u25,i12
u25,i08
u25,i06
u25,i04
u25,i15
u25,i02
u25,i09
u25,i00
u25,i17
u25,i05
u25,i14
u26,i06
u26,i02
u26,i03
u26,i09
u26,i08
u26,i19
u26,i00
u26,i13
u26,i01
u26,i10
u26,i05
u27,i01
u27,i04
u27,i02
u27,i11
u27,i03
u27,i15
u27,i06
u27,i14
u27,i12
u27,i05
u27,i00
u27,i08
u27,i07
u27,i19
u27,i16
u27,i09
u27,i13
u28,i02
u28,i04
u28,i07
u28,i00
u28,i15
u28,i06
u28,i03
u28,i05
u28,i10
u28,i01
u28,i08
u28,i16
u28,i12
u28,i11
u28,i18
u28,i13
u28,i09
u29,i07
u29,i03
u29,i05
u29,i13
u29,i08
u29,i02
u29,i16
u29,i06
u29,i10
u29,i12
u30,i11
u30,i04
u30,i13
u30,i12
u30,i01
u30,i00
u30,i03
